time,phonons
3.0949178608499474e-06,"[0.9994216574737921, 0.0005783412634969726, 1.048287087887673e-09, 1.7166115648011181e-12]"
3.1189312841636738e-06,"[0.9994124699310866, 0.0005875281652080213, 1.6874510008883334e-09, 1.7805527973768753e-12]"
3.1429283837453676e-06,"[0.999403687300898, 0.0005963112433549763, 1.2376610385440708e-09, 1.8569144857514805e-12]"
3.1664729693393762e-06,"[0.9993949751434149, 0.0006050237966145423, 8.403883275421111e-10, 1.8916634818678577e-12]"
3.1905312714815436e-06,"[0.9993855569286944, 0.0006144413155604058, 1.5343200194727708e-09, 1.9358316113057846e-12]"
3.214493516580024e-06,"[0.9993763469538545, 0.0006236511531745577, 1.6697285329520943e-09, 2.0222551803560195e-12]"
3.2380421059693935e-06,"[0.9993675659232721, 0.0006324329041135431, 9.47848322742551e-10, 2.0819063046718348e-12]"
3.262069756725397e-06,"[0.9993581490788147, 0.0006418495081376336, 1.1864732253338378e-09, 2.113653966973261e-12]"
3.2861292424104905e-06,"[0.9993484905296202, 0.0006515073679607199, 1.873969141486547e-09, 2.189592279314714e-12]"
3.31010014279918e-06,"[0.9993392691420493, 0.0006607292847168776, 1.3429589011500531e-09, 2.277616358231218e-12]"
3.333680788424116e-06,"[0.9993300776561339, 0.000669921173679657, 9.383888344685832e-10, 2.3171239167389076e-12]"
3.357736332392936e-06,"[0.9993201942850294, 0.0006798037598661055, 1.7214576254114138e-09, 2.369778839860256e-12]"
3.3817139128103753e-06,"[0.999310536515892, 0.0006894614256775201, 1.822941084317634e-09, 2.4705090690504336e-12]"
3.4052417894079246e-06,"[0.9993013111665022, 0.0006986875667365636, 1.0297525477589678e-09, 2.5380336038943816e-12]"
3.4292758539905736e-06,"[0.9992914170122819, 0.0007085814110841331, 1.3378069710792611e-09, 2.5750692178663946e-12]"
3.453372757075887e-06,"[0.9992812935535317, 0.0007187041371525634, 2.0685724567048258e-09, 2.66458270008433e-12]"
3.4773157497655026e-06,"[0.9992716379310554, 0.0007283603788604488, 1.4475227097933215e-09, 2.7650973533935627e-12]"
3.500938054180903e-06,"[0.9992619648813305, 0.0007380338296392056, 1.0449158555740193e-09, 2.809624624779411e-12]"
3.5249899037277343e-06,"[0.9992516204165582, 0.0007483774155159221, 1.9219548182388406e-09, 2.8720498854441686e-12]"
3.548986103415952e-06,"[0.9992415169832344, 0.000758480791874095, 1.9770493459903385e-09, 2.9885309505082392e-12]"
3.5724973846192094e-06,"[0.9992318480838297, 0.0007681505533746227, 1.1134360928741697e-09, 3.0642019760013645e-12]"
3.5965512327683585e-06,"[0.9992214726548567, 0.0007785255899110293, 1.5040342497550647e-09, 3.1072566989705426e-12]"
